872424587  73 11 -1 -1.59172
872424715  74 11 -1 -1.58094
872424843  75 11 -1 -1.56997
872424971  76 11 -1 -1.56335
872425099  77 11 -1 -1.55183
872425227  78 11 -1 -1.54019
872425355  79 11 -1 -1.52845
872425483  80 11 -1 -1.51661
872417932  21 12 -1 -1.5322
872418060  22 12 -1 -1.54443
872418188  23 12 -1 -1.55657
872418316  24 12 -1 -1.56862
872418444  25 12 -1 -1.58055
872418572  26 12 -1 -1.58777
872418700  27 12 -1 -1.59916
872418828  28 12 -1 -1.61037
872418956  29 12 -1 -1.62139
872419084  30 12 -1 -1.63219
872419212  31 12 -1 -1.63875
872419340  32 12 -1 -1.64877
872419468  33 12 -1 -1.6585
872419596  34 12 -1 -1.66792
872419724  35 12 -1 -1.67701
872419852  36 12 -1 -1.68248
872419980  37 12 -1 -1.69052
872420108  38 12 -1 -1.69816
872420236  39 12 -1 -1.70538
872420364  40 12 -1 -1.71214
872420492  41 12 -1 -1.71606
872420620  42 12 -1 -1.72154
872420748  43 12 -1 -1.7265
872420876  44 12 -1 -1.73094
872421004  45 12 -1 -1.73483
872421132  46 12 -1 -1.73682
872421260  47 12 -1 -1.73925
872421388  48 12 -1 -1.7411
872421516  49 12 -1 -1.74236
872421644  50 12 -1 -1.74303
872421772  51 12 -1 -1.74161
872421900  52 12 -1 -1.741
872422028  53 12 -1 -1.7398
872422156  54 12 -1 -1.73801
872422284  55 12 -1 -1.73564
872422412  56 12 -1 -1.73371
872422540  57 12 -1 -1.72988
872422668  58 12 -1 -1.7255
872422796  59 12 -1 -1.72059
872422924  60 12 -1 -1.71517
872423052  61 12 -1 -1.71132
872423180  62 12 -1 -1.70461
872423308  63 12 -1 -1.69745
872423436  64 12 -1 -1.68986
872423564  65 12 -1 -1.68187
872423692  66 12 -1 -1.67646
872423820  67 12 -1 -1.66742
872423948  68 12 -1 -1.65804
872424076  69 12 -1 -1.64835
872424204  70 12 -1 -1.63838
872424332  71 12 -1 -1.63187
872424460  72 12 -1 -1.62111
872424588  73 12 -1 -1.61013
872424716  74 12 -1 -1.59895
872424844  75 12 -1 -1.58759
872424972  76 12 -1 -1.58041
872425100  77 12 -1 -1.56851
872425228  78 12 -1 -1.55649
872425356  79 12 -1 -1.54437
872425484  80 12 -1 -1.53216
872417933  21 13 -1 -1.54783
872418061  22 13 -1 -1.56044
872418189  23 13 -1 -1.57298
872418317  24 13 -1 -1.58542
872418445  25 13 -1 -1.59776
872418573  26 13 -1 -1.60556
872418701  27 13 -1 -1.61736
872418829  28 13 -1 -1.62898
872418957  29 13 -1 -1.64042
872419085  30 13 -1 -1.65163
872419213  31 13 -1 -1.65875
872419341  32 13 -1 -1.66918
